name,office,party,image url,website,facebook,mailing address
Pete P. Gallego,U. S. Representative District 23,DEM,http://files.petegallego.gethifi.com/media/Gallego_Color.jpg,http://petegallego.com/,https://www.facebook.com/PeteGallegoforCongress,"P.O. Box 777 Alpine, TX 79831"
Will Hurd,U. S. Representative District 23,REP,http://trailblazersblog.dallasnews.com/files/2014/11/unnamed2.jpg,http://www.hurdforcongress.com/,https://www.facebook.com/HurdForCongress/,"PO Box 761029 San Antonio, TX 78245"
Lee Keenen,U. S. Representative District 23,DEM,https://ballotpedia.org/wiki/images/6/61/Lee_Keenen.JPG,https://ballotpedia.org/Lee_Keenen,,"P.O. Box 1328 Del Rio, TX 78841-1328"
"William ""Hart"" Peterson",U. S. Representative District 23,REP,,,,"PO Box 1177 Marfa, TX 79843"
Zeffen Hardin,U. S. Representative District 28,REP,,http://www.texansforzeffen.com/,https://www.facebook.com/Zeffen-for-Congress-TX28-985884821467915/timeline,"8030 Myrtle Glade Converse, TX 78109"
Henry Cuellar,U. S. Representative District 28,DEM,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Henry_Cuellar,_official_color_photo_portrait.jpg/220px-Henry_Cuellar,_official_color_photo_portrait.jpg",http://www.henrycuellar.com/,https://www.facebook.com/repcuellar/,"P.O. Box 6147 Laredo, TX 78045"
William R. Hayward,U. S. Representative District 28,DEM,https://media.licdn.com/mpr/mpr/shrinknp_200_200/p/7/000/20f/316/1c8f2d6.jpg,http://haywardforcongress.com/,https://www.facebook.com/William-R-Hayward-Campaign-408091785900053/,"609 Oak Meadows San Marcos, TX 78666"
Lloyd Doggett,U. S. Representative District 35,DEM,https://www.facebook.com/lloyddoggett,http://www.votedoggett.com/,http://trailblazersblog.dallasnews.com/files/2013/04/BX208_2405_9.jpg,"P.O. Box 5843 Austin, TX 78763"
Susan Narvaiz,U. S. Representative District 35,REP,http://www.susanforcongress.com/wp-content/uploads/2014/09/about-susan-300x283.jpg,http://www.susanforcongress.com/,https://www.facebook.com/SusanNarvaizTX,"102 Wonder World Drive PMB 304-304 San Marcos, TX 78666"
Lon Burnam,Railroad Commissioner,DEM,http://www.dallasvoice.com/wp-content/uploads/2013/02/Burnam-Lon_jpg_800x1000_q100.jpg,http://burnam4tx.com/,https://www.facebook.com/repburnam,"Box 1894 Fort Worth, TX 76101"
Wayne Christian,Railroad Commissioner,REP,http://www.teaparty911.com/images1/candidates/wayne-christian-for-tx-railroad-commissioner.jpg,http://www.christianfortexas.com/,https://www.facebook.com/RepWayneChristian,"204 Houston Street Center , TX 75935"
Grady Yarbrough,Railroad Commissioner,DEM,http://ww4.hdnux.com/photos/13/36/64/3009847/5/920x920.jpg,,,"14937 FM 2661 Flint, TX 75762"
Lance N. Christian,Railroad Commissioner,REP,http://wilcoonline.com/clients/wilcoonline/0113lchristian.jpg,,,"1730 East Oltorf #215 Austin, TX 78741"
Cody Garrett,Railroad Commissioner,DEM,http://www.texansforcodygarrett.com/images/35570/DSCF0740_cropped_corrected_redcorrected_web.jpg,http://www.texansforcodygarrett.com/,https://www.facebook.com/texansforcodygarrett/,"914 Koerner Lane Austin, TX 78721"
Doug Jeffrey,Railroad Commissioner,REP,https://bexargopblog.files.wordpress.com/2016/01/photo_dougjeffrey-e1452110665826.jpg?w=900,http://www.dougjeffrey4texas.com/,https://www.facebook.com/dougjeffrey4Texas/,"3821 Wilbarger St. Vernon, TX 76384"
John Greytok,Railroad Commissioner,REP,https://bexargopblog.files.wordpress.com/2016/01/photo_johngreytok1-e1452108929290.jpg?w=900,http://johngreytok.com/,https://www.facebook.com/johngreytoktx/,"PO Box 29238 Austin, TX 78755"
Gary Gates,Railroad Commissioner,REP,http://www.samhoustonteaparty.com/Gary_Gates.jpg,http://www.garygatesfortexas.com/,https://www.facebook.com/garygatesfortexas/,"2205 Ave I, Suite 118 Rosenberg , TX 77471"
Ron Hale,Railroad Commissioner,REP,http://www.houstonnorml.org/wp-content/uploads/2014/09/Cand-Photos-Ron-Hale.jpg,http://ronhalefortexas.com/,https://www.facebook.com/RonHaleforTexas/,"19711 Tacoma Bluff Drive Cypress, TX 77433"
Weston Martinez,Railroad Commissioner,REP,https://scontent-mia1-1.xx.fbcdn.net/hphotos-xat1/v/t1.0-9/1604972_10151858406756048_991561384_n.jpg?oh=b55171937be2ff2845abcc42e7be1abb&oe=5738659E,http://www.westonfortexas.com/,https://www.facebook.com/WestonMartinez,"14427 Brookhollow, Suite 312 San Antonio, TX 78232"
